Date,Open,High,Low,Close,Adj.Close,Volume
18-Nov-20,213.65,215.17,210.93,211.08,211.08,"2,83,40,900"
17-Nov-20,216.1,217.68,214.08,214.46,213.9,"2,41,54,100"
16-Nov-20,214.87,217.74,214.52,217.23,216.66,"2,49,53,300"
13-Nov-20,216.36,217.42,214.16,216.51,215.94,"1,86,21,100"
12-Nov-20,217.21,219.11,214.46,215.44,214.88,"2,15,93,900"
11-Nov-20,212.39,218.04,212.2,216.55,215.98,"2,94,40,800"
10-Nov-20,214.5,216.5,209.72,211.01,210.46,"4,40,45,100"
09-Nov-20,224.44,228.12,217.88,218.39,217.82,"4,43,95,000"
06-Nov-20,222.26,224.36,218.03,223.72,223.14,"2,52,31,900"
05-Nov-20,222.04,224.12,221.15,223.29,222.71,"3,60,80,100"
04-Nov-20,214.02,218.32,212.42,216.39,215.82,"4,23,11,800"
03-Nov-20,203.89,208.12,203.12,206.43,205.89,"2,75,12,000"
02-Nov-20,204.29,205.28,200.12,202.33,201.8,"3,08,42,200"
30-Oct-20,203.5,204.29,199.62,202.47,201.94,"3,69,53,700"
29-Oct-20,204.07,207.36,203.37,204.72,204.19,"3,14,32,600"
28-Oct-20,207.67,208.84,202.1,202.68,202.15,"5,11,95,600"
27-Oct-20,211.59,214.67,210.33,213.25,212.69,"3,67,00,300"
26-Oct-20,213.85,216.34,208.1,210.08,209.53,"3,71,11,600"
23-Oct-20,215.03,216.28,213.16,216.23,215.67,"1,88,79,600"
22-Oct-20,213.93,216.06,211.7,214.89,214.33,"2,23,51,500"
21-Oct-20,213.12,216.92,213.12,214.8,214.24,"2,27,24,900"
20-Oct-20,215.8,217.37,213.09,214.65,214.09,"2,27,53,500"
19-Oct-20,220.42,222.3,213.72,214.22,213.66,"2,76,25,800"
16-Oct-20,220.15,222.29,219.32,219.66,219.09,"2,60,57,900"
15-Oct-20,217.1,220.36,216.01,219.66,219.09,"2,27,33,100"
14-Oct-20,223,224.22,219.13,220.86,220.28,"2,34,51,700"
13-Oct-20,222.72,225.21,220.43,222.86,222.28,"2,89,50,800"
12-Oct-20,218.79,223.86,216.81,221.4,220.82,"4,04,61,400"
